epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.94137,2.48935,0.16667,0.75,2.25354,0,0,0
2,2.92946,2.53379,0.16667,0.75,2.25354,0.000235644,0.000235644,0.000235644
3,4.06778,2.40447,0.16667,0.75,2.25354,0.000466575,0.000466575,0.000466575
4,5.47537,2.46451,0.25,0.75,2.13993,0.000692794,0.000692794,0.000692794
5,6.69875,1.46349,0.25,0.75,2.13993,0.000685726,0.000685726,0.000685726
6,7.89253,1.65759,0.25,0.75,2.13993,0.000678657,0.000678657,0.000678657
7,9.36208,1.48814,0.08333,0.91667,2.037,0.000671588,0.000671588,0.000671588
8,10.4443,0.931,0.08333,0.91667,2.037,0.00066452,0.00066452,0.00066452
9,11.8333,0.92372,0.08333,0.91667,2.037,0.000657451,0.000657451,0.000657451
10,13.083,0.75135,0.25,0.91667,1.90108,0.000650383,0.000650383,0.000650383
11,14.1587,0.68066,0.25,0.91667,1.90108,0.000643314,0.000643314,0.000643314
12,15.3506,0.57436,0.25,0.91667,1.90108,0.000636245,0.000636245,0.000636245
13,16.765,0.65138,0.33333,0.91667,1.77463,0.000629177,0.000629177,0.000629177
14,17.7834,0.33749,0.33333,0.91667,1.77463,0.000622108,0.000622108,0.000622108
15,18.9078,0.27576,0.33333,0.91667,1.77463,0.00061504,0.00061504,0.00061504
16,19.9294,0.25228,0.41667,0.91667,1.6889,0.000607971,0.000607971,0.000607971
17,21.121,0.18039,0.41667,0.91667,1.6889,0.000600902,0.000600902,0.000600902
18,22.3558,0.14438,0.41667,0.91667,1.6889,0.000593834,0.000593834,0.000593834
19,23.3868,0.13449,0.41667,0.91667,1.62619,0.000586765,0.000586765,0.000586765
20,24.5216,0.11141,0.41667,0.91667,1.62619,0.000579697,0.000579697,0.000579697
21,25.5353,0.05067,0.41667,0.91667,1.62619,0.000572628,0.000572628,0.000572628
22,26.726,0.092,0.41667,0.91667,1.583,0.000565559,0.000565559,0.000565559
23,27.7038,0.04634,0.41667,0.91667,1.583,0.000558491,0.000558491,0.000558491
24,28.7131,0.02243,0.41667,0.91667,1.583,0.000551422,0.000551422,0.000551422
25,29.8866,0.0433,0.41667,0.91667,1.56973,0.000544354,0.000544354,0.000544354
26,31.3415,0.02778,0.41667,0.91667,1.56973,0.000537285,0.000537285,0.000537285
27,32.7808,0.02592,0.41667,0.91667,1.56973,0.000530216,0.000530216,0.000530216
28,34.0712,0.06481,0.41667,0.91667,1.56558,0.000523148,0.000523148,0.000523148
29,35.2141,0.05518,0.41667,0.91667,1.56558,0.000516079,0.000516079,0.000516079
30,36.3857,0.01562,0.41667,0.91667,1.56558,0.000509011,0.000509011,0.000509011
31,37.4777,0.00729,0.41667,0.91667,1.58193,0.000501942,0.000501942,0.000501942
32,38.5399,0.00969,0.41667,0.91667,1.58193,0.000494873,0.000494873,0.000494873
33,39.8154,0.00736,0.41667,0.91667,1.58193,0.000487805,0.000487805,0.000487805
34,40.8735,0.01887,0.41667,0.91667,1.61505,0.000480736,0.000480736,0.000480736
35,41.9532,0.00847,0.41667,0.91667,1.61505,0.000473668,0.000473668,0.000473668
36,43.1339,0.02106,0.41667,0.91667,1.61505,0.000466599,0.000466599,0.000466599
37,44.181,0.00891,0.41667,0.91667,1.66381,0.00045953,0.00045953,0.00045953
38,45.2397,0.00619,0.41667,0.91667,1.66381,0.000452462,0.000452462,0.000452462
39,46.2973,0.00495,0.41667,0.91667,1.66381,0.000445393,0.000445393,0.000445393
40,47.3916,0.00466,0.41667,0.91667,1.67318,0.000438325,0.000438325,0.000438325
41,48.3775,0.00168,0.41667,0.91667,1.67318,0.000431256,0.000431256,0.000431256
42,49.4376,0.00221,0.41667,0.91667,1.67318,0.000424187,0.000424187,0.000424187
43,50.5174,0.00958,0.41667,0.91667,1.67022,0.000417119,0.000417119,0.000417119
44,51.6017,0.00227,0.41667,0.91667,1.67022,0.00041005,0.00041005,0.00041005
45,52.5878,0.00182,0.41667,0.91667,1.67022,0.000402982,0.000402982,0.000402982
46,53.5752,0.00222,0.41667,0.91667,1.67035,0.000395913,0.000395913,0.000395913
47,54.7946,0.00212,0.41667,0.91667,1.67035,0.000388844,0.000388844,0.000388844
48,56.0487,0.00343,0.41667,0.91667,1.67035,0.000381776,0.000381776,0.000381776
